,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
88,NB-U02-2012,NB-U02,63.0,-167.75,150.0,CTD,2012,25.0,4.968,31.695,0.223143551,5.0,4.9689999999999985,31.727,0.182321557,5.0,0.057180036,4.657762636,4.701730765,0.56,22.0
89,NB-U04-2012,NB-U04,63.0,-166.0,148.0,CTD,2012,21.0,7.513,30.65,-1.7719568419999998,6.0,7.513,30.672,-0.010050336,6.0,0.055385669000000005,3.072693315,4.4444005980000005,0.931562184,17.0
90,NB-V01-2012,NB-V01,62.5,-169.0,151.0,CTD,2012,32.0,5.062,30.57,-0.46203546,5.0,3.451,31.805,1.098612289,5.0,0.139613931,2.727852828,3.822302971,0.16,11.0
91,NB-V02-2012,NB-V02,62.5,-168.0,152.0,CTD,2012,29.0,6.864,30.62,-0.713349888,5.0,3.026,31.738000000000003,0.457424847,5.0,0.148128987,3.148453361,2.38153636,0.23507961,15.0
92,NB-V03-2012,NB-V03,62.5,-167.0,153.0,CTD,2012,35.0,7.773,29.859,-1.272965676,6.0,5.06,31.401,0.285178942,5.0,0.148273379,3.60004824,7.404520279,0.724759396,16.0
93,NB-W01-2012,NB-W01,62.0,-169.0,157.0,CTD,2012,38.0,5.722,31.351,-1.171182982,5.0,3.202,31.529,-1.7147984280000002,5.0,0.103116282,4.242764567,7.641334962,0.38,30.0
94,NB-W02-2012,NB-W02,62.0,-168.0,156.0,CTD,2012,28.0,6.675,31.179,-0.916290732,5.0,6.686,31.179,-1.386294361,5.0,0.0,3.795489189,4.115397494,1.085067565,24.0
95,NB-W03-2012,NB-W03,62.0,-167.0,155.0,CTD,2012,30.0,8.211,30.564,-0.616186139,6.0,8.26,30.729,-0.713349888,6.0,0.082206802,3.194583132,4.052704026000002,0.4794233,25.0
96,NB-X01-2012,NB-X01,61.5,-169.0,158.0,CTD,2012,36.0,5.869,31.182,0.371563556,5.0,5.65,31.201,0.09531018,5.0,0.05879521400000001,3.893859035,5.204843738,0.6940870459999999,26.5
97,NB-X02-2012,NB-X02,61.5,-168.0,159.0,CTD,2012,28.0,7.735,31.018,-1.7147984280000002,6.0,7.728,31.021,-1.139434283,6.0,0.034397906,3.33220451,4.579301257,0.22,24.0
98,NB-X03-2012,NB-X03,61.5,-167.0,160.0,CTD,2012,23.0,8.439,30.751,-2.207274913,6.0,8.442,30.748,-2.207274913,6.0,0.0,3.210843653,6.73763224,0.952775374,20.0
99,NB-Y01-2012,NB-Y01,61.0,-169.0,162.0,CTD,2012,37.0,6.902,31.129,-0.597837001,5.0,6.907,31.129,0.029558802,5.0,0.0,3.869115504,5.9316094160000015,0.541309784,33.0
100,NB-Y02-2012,NB-Y02,61.0,-168.0,163.0,CTD,2012,28.0,7.407,31.056,-0.867500568,6.0,7.414,31.064,-1.560647748,6.0,0.038425022,3.3877743610000004,6.133924623,0.082524452,24.0
101,NB-Z01-2012,NB-Z01,60.5,-169.0,165.0,CTD,2012,40.0,4.797,30.864,0.058268908,5.0,3.065,31.085,0.542324291,5.0,0.09694811,3.5085559,7.675712653,0.378282023,19.0
102,NB-Z03-2012,NB-Z03,60.5,-167.0,166.0,CTD,2012,28.0,8.589,29.978,-0.967584026,6.0,8.606,29.992,-1.139434283,6.0,0.043437268,4.082609306,3.476234867,0.410778881,23.0
103,NB-ZZ02-2012,NB-ZZ02,60.0,-168.0,167.0,CTD,2012,26.0,7.282999999999999,30.623,-1.347073648,6.0,7.291,30.625,-0.713349888,6.0,0.023967817,3.996364154,5.134742783,0.5824755220000001,21.0
104,CH-A01-2013,CH-A01,66.0,-168.5,2.0,CTD,2013,55.0,10.64,28.5,0.444685821,6.0,3.58,31.95,0.647103242,5.0,0.16445971,3.250374492,6.149510846,1.334269546,38.5
105,CH-A02-2013,CH-A02,66.0,-167.27151202424716,5.0,CTD,2013,15.0,10.65,29.24,-0.223143551,6.0,8.74,30.28,0.418710335,6.0,0.173091905,0.955511445,2.372375632,1.366872881,7.5
106,CH-B01-2013,CH-B01,66.5,-168.5,11.0,CTD,2013,52.0,9.22,29.77,-1.171182982,6.0,4.05,31.82,0.343589704,5.0,0.149393367,3.000719815,7.489864282,0.778545649,25.5
107,CH-B02-2013,CH-B02,66.5,-167.24690249690434,9.0,CTD,2013,29.0,7.689211667,32.6981387,-0.287682072,,5.962909982,31.04390612,-0.342490309,,0.199966688,2.104134154,7.37060767,0.815111631,0.0
108,CH-B03-2013,CH-B03,66.5,-165.993804993809,6.0,CTD,2013,18.0,11.8,28.31,-3.506557897,6.0,9.16,30.06,-3.506557897,6.0,0.191308408,0.78845736,3.96968872,0.358493003,9.5
109,CH-C01-2013,CH-C01,67.0,-168.5,12.0,CTD,2013,39.0,7.14,30.61,-0.301105093,6.0,2.23,32.06,0.783901544,5.0,0.153360209,3.45946629,7.473285757,0.75,16.0
110,CH-C02-2013,CH-C02,67.0,-167.2211874378042,14.0,CTD,2013,39.0,4.78,32.19,-0.693147181,5.0,1.97,32.23,1.327075001,5.0,0.094847827,3.688879454,6.64068078,0.8157020209999999,19.5
111,CH-C03-2013,CH-C03,67.0,-165.942374875608,17.0,CTD,2013,24.0,10.33,30.02,-0.478035801,6.0,6.7,31.71,-2.995732274,5.0,0.171041179,2.2300144,2.800206312,0.561724929,3.0
112,CH-C04-2013,CH-C04,67.0,-164.663562313412,19.0,CTD,2013,27.0,12.76,29.39,0.09531018,6.0,6.65,31.43,-0.84397007,5.0,0.183228701,1.791759469,3.215534902,0.516469705,21.0
113,CH-D01-2013,CH-D01,67.5,-168.5,29.0,CTD,2013,49.0,6.45,30.93,-1.272965676,5.0,1.46,32.4,2.903616985,5.0,0.137912025,5.195730778,8.693100713,1.2,
114,CH-D02-2013,CH-D02,67.5,-167.19429331368374,27.0,CTD,2013,46.0,4.57,32.29,-1.7147984280000002,5.0,2.32,32.46,2.607861474,5.0,0.095307405,4.109233175,8.407311863,1.459981612,25.0
115,CH-D03-2013,CH-D03,67.5,-165.888586627367,25.0,CTD,2013,40.0,7.39,31.73,-0.162518929,6.0,2.6,32.21,0.548121409,5.0,0.127502935,2.660259537,6.58930531,1.175271338,22.5
116,CH-D04-2013,CH-D04,67.5,-164.58287994105,21.0,CTD,2013,29.0,12.32,28.7,-0.010050336,6.0,5.98,31.58,-2.525728644,5.0,0.189784954,2.3887627890000003,6.5268675489999985,0.41,20.0
117,CH-E01-2013,CH-E01,68.0,-168.5,30.0,CTD,2013,58.0,4.86,32.37,1.047318994,5.0,1.26,32.75,3.113515309,5.0,0.102527548,6.0330862220000006,8.452218644,1.26,49.0
118,CH-E02-2013,CH-E02,68.0,-167.16613990126982,34.0,CTD,2013,56.0,6.53,31.97,0.39877612,5.0,2.3,32.42,1.756132292,5.0,0.111787296,5.275560379,5.320714238,0.44,18.0
119,CH-E03-2013,CH-E03,68.0,-165.82,37.0,CTD,2013,28.0,11.61,27.83,-0.139262067,6.0,7.01,30.9,-0.186329578,6.0,0.19221599600000006,2.509599262,2.395278673,0.476695294,19.0
