profile_id,time,pressure,latitude,longitude,S_42,S_41,T_28,T2_35
,UTC,dbar,degrees_north,degrees_east,PSU,PSU,C,C
os1701l3c114_ctd,2017-09-19T16:13:44Z,0.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,1.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,2.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,3.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,4.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,5.0,69.49817,195.79984,31.5024,31.5007,5.2634,5.266
os1701l3c114_ctd,2017-09-19T16:13:44Z,6.0,69.49817,195.79984,31.5008,31.4976,5.2553,5.2537
os1701l3c114_ctd,2017-09-19T16:13:44Z,7.0,69.49817,195.79984,31.4992,31.4972,5.2526,5.2523
os1701l3c114_ctd,2017-09-19T16:13:44Z,8.0,69.49817,195.79984,31.4978,31.5022,5.2701,5.2646
os1701l3c114_ctd,2017-09-19T16:13:44Z,9.0,69.49817,195.79984,31.5071,31.5065,5.2864,5.2861
os1701l3c114_ctd,2017-09-19T16:13:44Z,10.0,69.49817,195.79984,31.5057,31.5061,5.29,5.2891
os1701l3c114_ctd,2017-09-19T16:13:44Z,11.0,69.49817,195.79984,31.5151,31.5166,5.317,5.3204
os1701l3c114_ctd,2017-09-19T16:13:44Z,12.0,69.49817,195.79984,31.5194,31.518,5.3255,5.3256
os1701l3c114_ctd,2017-09-19T16:13:44Z,13.0,69.49817,195.79984,31.5195,31.5175,5.329,5.3278
os1701l3c114_ctd,2017-09-19T16:13:44Z,14.0,69.49817,195.79984,31.52,31.5227,5.3472,5.345
os1701l3c114_ctd,2017-09-19T16:13:44Z,15.0,69.49817,195.79984,31.5244,31.5226,5.3519,5.3515
os1701l3c114_ctd,2017-09-19T16:13:44Z,16.0,69.49817,195.79984,31.5242,31.5223,5.3512,5.3513
os1701l3c114_ctd,2017-09-19T16:13:44Z,17.0,69.49817,195.79984,31.5245,31.5216,5.3486,5.3479
os1701l3c114_ctd,2017-09-19T16:13:44Z,18.0,69.49817,195.79984,31.5228,31.5222,5.3512,5.3526
os1701l3c114_ctd,2017-09-19T16:13:44Z,19.0,69.49817,195.79984,31.5238,31.5229,5.3543,5.3536
os1701l3c114_ctd,2017-09-19T16:13:44Z,20.0,69.49817,195.79984,31.5243,31.5225,5.3531,5.3527
os1701l3c114_ctd,2017-09-19T16:13:44Z,21.0,69.49817,195.79984,31.5241,31.5225,5.3532,5.353
os1701l3c114_ctd,2017-09-19T16:13:44Z,22.0,69.49817,195.79984,31.5243,31.5227,5.354,5.3536
os1701l3c114_ctd,2017-09-19T16:13:44Z,23.0,69.49817,195.79984,31.5241,31.5222,5.3537,5.3537
os1701l3c115_ctd,2017-09-19T17:08:56Z,0.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,1.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,2.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,3.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,4.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,5.0,69.50584,195.80383,31.4713,31.4673,5.2029,5.2044
os1701l3c115_ctd,2017-09-19T17:08:56Z,6.0,69.50584,195.80383,31.4692,31.4703,5.2181,5.2221
os1701l3c115_ctd,2017-09-19T17:08:56Z,7.0,69.50584,195.80383,31.4743,31.474,5.2406,5.2458
os1701l3c115_ctd,2017-09-19T17:08:56Z,8.0,69.50584,195.80383,31.4839,31.4859,5.2875,5.2896
